id,assignmentId,userId,courseId,progress,score,timeInvested,completionStatus,certificateUrl,quizScore,assignmentScore,participationCount,timeSpentOnQuizzes,updatedAt
1,1,2,637,100.0,90.91997652507428,29,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,76.0,51.0,9,1,2024-01-30 00:13:01
2,2,2,1850,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-09-13 13:59:48
3,3,2,1754,100.0,94.13136522228348,23,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,70.0,30.0,3,2,2024-06-12 20:39:12
4,4,2,3214,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-05-13 21:26:40
5,5,2,3035,100.0,88.13840252676941,21,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,65.0,58.0,8,1,2024-01-29 23:21:53
6,6,2,1961,41.19729560529623,64.16467115410074,19,IN_PROGRESS,None,54.0,55.0,6,8,2024-07-31 00:31:02
7,7,2,709,86.90084099747304,61.04502806158173,22,IN_PROGRESS,None,4.0,59.0,3,9,2024-03-05 13:48:44
8,8,2,1785,100.0,63.04834811954155,23,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,80.0,64.0,3,4,2024-05-23 01:30:32
9,9,2,1586,53.60434018957746,55.15945686550469,22,IN_PROGRESS,None,57.0,59.0,3,3,2024-09-19 16:47:46
10,10,2,2290,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-28 17:50:06
11,11,2,2616,29.590989174789676,81.41345546738319,27,IN_PROGRESS,None,17.0,61.0,1,9,2024-01-12 01:12:15
12,12,2,2334,28.35756948219021,50.41830387741342,17,IN_PROGRESS,None,58.0,28.0,5,8,2024-03-29 10:55:29
13,13,2,599,60.33182260768852,61.36260583397205,29,IN_PROGRESS,None,81.0,19.0,5,6,2024-07-05 01:49:41
14,14,2,3326,39.45252072007728,73.6281402378469,25,IN_PROGRESS,None,54.0,73.0,6,2,2024-06-24 14:17:31
15,15,2,2043,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-02-22 16:35:23
16,16,2,3131,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-28 00:42:33
17,17,2,1148,69.08131591400644,65.98558353766602,2,IN_PROGRESS,None,14.0,26.0,10,7,2024-04-23 22:48:54
18,18,2,2945,59.87864088122454,66.40329076901821,3,IN_PROGRESS,None,94.0,86.0,9,2,2024-04-13 22:01:35
19,19,2,2720,100.0,73.9838602749526,11,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,49.0,85.0,1,8,2024-05-08 08:33:48
20,20,4,1168,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-04 16:14:57
21,21,4,1742,100.0,72.5922134251471,22,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,29.0,30.0,4,10,2024-01-24 02:27:14
22,22,4,3619,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-07-13 18:05:30
23,23,4,2749,17.401514893653026,79.62064837233459,13,IN_PROGRESS,None,85.0,34.0,2,4,2024-02-16 22:46:01
24,24,4,2037,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-01-05 18:26:07
25,25,4,2368,100.0,95.51788781090109,25,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,76.0,42.0,6,7,2024-08-28 15:44:08
26,26,4,1559,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-09 23:34:49
27,27,4,2059,82.39699353566657,97.77526265307732,4,IN_PROGRESS,None,75.0,60.0,1,5,2024-02-20 20:43:42
28,28,4,1582,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-01-06 14:42:00
29,29,4,1506,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-28 09:39:33
30,30,4,3193,77.66241844719411,98.05179372579542,21,IN_PROGRESS,None,32.0,28.0,1,2,2024-09-20 10:40:34
31,31,4,145,96.20363084789784,64.78799452429263,9,IN_PROGRESS,None,96.0,38.0,4,10,2024-07-20 17:37:02
32,32,4,3051,13.875640637510877,74.39616110172408,28,IN_PROGRESS,None,37.0,57.0,7,4,2024-07-04 11:52:32
33,33,4,2692,100.0,56.71420868077561,30,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,42.0,63.0,4,8,2024-07-24 19:23:52
34,34,4,912,6.674569567804589,71.13412506344665,30,IN_PROGRESS,None,69.0,78.0,1,2,2024-05-09 20:03:07
35,35,4,3080,40.95552459464508,52.82755668344959,30,IN_PROGRESS,None,67.0,16.0,3,1,2024-01-23 19:55:43
36,36,4,499,100.0,64.55132280936552,2,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,64.0,72.0,4,10,2024-07-30 08:47:10
37,37,4,1140,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-22 08:26:55
38,38,4,628,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-13 05:58:31
39,39,4,1706,56.56566205707348,67.83848028065418,25,IN_PROGRESS,None,99.0,51.0,3,3,2024-09-15 21:43:33
40,40,5,2923,100.0,51.24764188313421,23,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,53.0,73.0,9,6,2024-06-01 15:21:40
41,41,5,813,100.0,51.73163701830863,2,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,65.0,65.0,3,7,2024-07-16 15:30:54
42,42,5,2980,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-09-17 07:18:07
43,43,5,2184,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-02-20 05:57:23
44,44,5,3447,100.0,55.125995441000505,19,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,56.0,55.0,7,1,2024-05-04 20:25:11
45,45,5,296,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-04 00:13:49
46,46,5,936,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-14 03:30:57
47,47,5,441,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-31 02:35:51
48,48,5,3415,100.0,85.00469846055009,8,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,26.0,39.0,5,2,2024-06-08 21:25:46
49,49,5,1738,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-01-08 06:41:45
50,50,5,348,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-07-19 23:47:44
51,51,5,3374,74.7224243866119,69.38294129242655,25,IN_PROGRESS,None,16.0,58.0,10,2,2024-03-05 21:05:11
52,52,5,3122,100.0,85.59336083199904,5,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,77.0,87.0,4,9,2024-07-29 00:49:06
53,53,5,374,14.507041867964707,82.66224339870995,25,IN_PROGRESS,None,7.0,1.0,2,7,2024-05-16 04:45:04
54,54,6,1083,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-05-09 21:19:01
55,55,6,933,66.68820407988831,94.20341180738772,25,IN_PROGRESS,None,46.0,96.0,4,2,2024-04-24 15:29:22
56,56,6,1904,100.0,90.56755591575433,10,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,22.0,43.0,8,9,2024-03-08 15:08:50
57,57,6,1192,36.62165523676831,61.0747822375101,2,IN_PROGRESS,None,53.0,56.0,6,1,2024-04-10 09:50:50
58,58,6,2767,75.31257504251792,50.91473537346503,8,IN_PROGRESS,None,54.0,18.0,2,8,2024-08-14 15:50:27
59,59,6,139,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-18 15:30:45
60,60,6,2047,62.01758462161949,55.72719797646485,3,IN_PROGRESS,None,55.0,91.0,10,5,2024-08-25 05:36:19
61,61,6,2319,23.817182796288797,74.02136581796873,21,IN_PROGRESS,None,40.0,24.0,6,10,2024-01-16 02:21:17
62,62,6,3290,42.86687833485894,52.52031070409198,27,IN_PROGRESS,None,54.0,34.0,7,8,2024-04-27 06:22:20
63,63,6,3304,41.02493068022205,64.50204285672896,30,IN_PROGRESS,None,76.0,79.0,4,9,2024-02-19 15:52:37
64,64,6,993,35.139856210645185,65.88748470704843,22,IN_PROGRESS,None,75.0,97.0,10,3,2024-09-14 05:28:24
65,65,6,316,36.77527230371881,58.27691421852381,21,IN_PROGRESS,None,26.0,3.0,9,7,2024-01-13 07:11:59
66,66,6,2315,97.54510913603698,81.08108834451087,7,IN_PROGRESS,None,14.0,49.0,4,8,2024-07-11 11:07:44
67,67,6,974,69.08640243187834,98.13536038035562,18,IN_PROGRESS,None,26.0,20.0,2,10,2024-08-23 21:11:51
68,68,6,994,0.7006909574094999,66.22197618630642,25,IN_PROGRESS,None,10.0,9.0,9,5,2024-07-29 14:11:21
69,69,7,2840,100.0,98.02937657782574,11,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,57.0,78.0,1,1,2024-02-19 20:46:34
70,70,7,2832,100.0,99.3528416972328,3,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,34.0,60.0,8,10,2024-05-26 06:16:58
71,71,7,1887,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-06-08 04:22:58
72,72,7,1250,11.761691056439716,53.34250451699524,17,IN_PROGRESS,None,58.0,73.0,9,10,2024-02-20 02:55:56
73,73,7,3406,100.0,95.5543382026992,3,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,51.0,74.0,10,3,2024-02-13 22:36:18
74,74,7,1571,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-05-04 14:51:07
75,75,7,866,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-22 01:27:25
76,76,7,1802,78.06679622763492,98.4235457921192,16,IN_PROGRESS,None,78.0,62.0,1,6,2024-07-31 19:37:47
77,77,7,449,100.0,87.38249109887073,23,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,45.0,51.0,10,1,2024-05-22 06:38:47
78,78,7,224,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-08-18 05:04:46
79,79,7,1995,100.0,80.68814965501359,26,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,44.0,97.0,4,5,2024-01-07 16:49:32
80,80,7,887,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-02-29 22:39:08
81,81,7,2703,100.0,79.64282620672198,20,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,74.0,62.0,4,1,2024-03-17 16:15:46
82,82,7,1708,100.0,76.41794216502825,24,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,70.0,71.0,3,3,2024-08-05 10:09:10
83,83,7,2305,99.5934279609824,58.092276790878856,2,IN_PROGRESS,None,26.0,49.0,2,1,2024-04-22 09:38:47
84,84,7,3349,100.0,90.49878245470973,14,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,38.0,92.0,6,1,2024-08-15 04:15:02
85,85,7,1277,100.0,79.19742642990721,5,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,79.0,57.0,6,9,2024-10-04 23:11:13
86,86,8,281,39.33878953348932,74.52116550052995,16,IN_PROGRESS,None,80.0,68.0,8,7,2024-06-18 13:03:36
87,87,8,3071,68.19952510122972,67.17015391750434,18,IN_PROGRESS,None,54.0,71.0,10,5,2024-02-28 22:04:06
88,88,8,1429,100.0,96.49084199157716,5,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,34.0,35.0,2,10,2024-05-06 20:02:08
89,89,8,14,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-01-16 10:05:20
90,90,8,44,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-04 19:21:12
91,91,8,1354,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-04-01 07:01:18
92,92,8,1722,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-07-14 18:49:48
93,93,8,300,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-09-06 02:16:35
94,94,8,1371,50.03500192796435,95.64127879083956,23,IN_PROGRESS,None,44.0,56.0,7,3,2024-03-23 09:51:01
95,95,8,347,100.0,96.51057554102684,3,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,30.0,35.0,7,2,2024-02-01 18:20:25
96,96,8,1084,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-01-09 11:12:24
97,97,8,1243,47.55574457523113,70.76035952973321,2,IN_PROGRESS,None,47.0,32.0,3,4,2024-04-22 15:31:27
98,98,8,3648,60.029377047709744,73.45590495206663,24,IN_PROGRESS,None,68.0,80.0,5,10,2024-02-03 07:11:50
