id_progress,assignmentId,userId_progress,courseId_progress,progress,score,timeInvested,completionStatus,certificateUrl,quizScore,assignmentScore,participationCount,timeSpentOnQuizzes,updatedAt,id_assignment,userId_assignment,courseId_assignment,learningPathId,assignedAt,id,title,duration,difficultyLevel,createdAt,updatedAt_course,progress_percent,total_score
1,1,2,637,100.0,90.91997652507428,29,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,76.0,51.0,9,1,2024-01-30 00:13:01,1,2,637,-1,2020-05-24 11:03:07,637,Professional Trading With Institutional Supply & Demand,330,EASY,2024-10-04 09:09:00.000,2026-06-26 09:09:00.000,10000.0,127.0
2,2,2,1850,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-09-13 13:59:48,2,2,1850,-1,2022-11-27 22:07:26,1850,Worship Piano: From Beginner to Pro,180,EASY,2024-10-04 09:09:00.000,2029-10-21 09:09:00.000,0.0,0.0
3,3,2,1754,100.0,94.13136522228348,23,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,70.0,30.0,3,2,2024-06-12 20:39:12,3,2,1754,-1,2023-12-03 22:01:12,1754,Adobe Illustrator Creative Cloud:  Mastering the Upgrades,120,MEDIUM,2024-10-04 09:09:00.000,2029-07-17 09:09:00.000,10000.0,100.0
4,4,2,3214,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-05-13 21:26:40,4,2,3214,-1,2022-08-18 20:01:41,3214,The Professional Ruby on Rails Developer,1020,EASY,2024-10-04 09:10:00.000,2033-07-16 09:09:00.000,0.0,0.0
5,5,2,3035,100.0,88.13840252676941,21,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,65.0,58.0,8,1,2024-01-29 23:21:53,5,2,3035,-1,2020-07-08 10:32:48,3035,jQuery for Beginners - Create Website Animations Easily,180,EASY,2024-10-04 09:09:00.000,2033-01-18 09:09:00.000,10000.0,123.0
6,6,2,1961,41.19729560529623,64.16467115410074,19,IN_PROGRESS,None,54.0,55.0,6,8,2024-07-31 00:31:02,6,2,1961,-1,2020-06-08 17:24:54,1961,Beginner Guitar Lessons: Learn To Play Guitar Today (WAVE 1),600,EASY,2024-10-04 09:09:00.000,2030-02-09 09:09:00.000,4119.729560529623,109.0
7,7,2,709,86.90084099747304,61.04502806158173,22,IN_PROGRESS,None,4.0,59.0,3,9,2024-03-05 13:48:44,7,2,709,-1,2023-01-06 20:05:11,709,How to Trade Binary Options Effectively – All Levels,60,EASY,2024-10-04 09:09:00.000,2026-09-06 09:09:00.000,8690.084099747304,63.0
8,8,2,1785,100.0,63.04834811954155,23,COMPLETED,https://th.bing.com/th/id/OIP.0sNWprQMpNBq_17I23CVvwAAAA?rs=1&pid=ImgDetMain,80.0,64.0,3,4,2024-05-23 01:30:32,8,2,1785,-1,2020-11-15 10:41:51,1785,Add realistic car paint to your pencil drawing in Photoshop!,60,EASY,2024-10-04 09:09:00.000,2029-08-17 09:09:00.000,10000.0,144.0
9,9,2,1586,53.60434018957746,55.15945686550469,22,IN_PROGRESS,None,57.0,59.0,3,3,2024-09-19 16:47:46,9,2,1586,-1,2023-05-06 10:07:34,1586,Sketchbook Pro for Beginners,240,EASY,2024-10-04 09:09:00.000,2029-01-30 09:09:00.000,5360.434018957746,116.0
10,10,2,2290,0.0,0.0,0,NOT_STARTED,None,0.0,0.0,0,0,2024-03-28 17:50:06,10,2,2290,-1,2024-07-28 11:57:13,2290,Blues Guitar Lessons - Blues Guitar - Robert Johnson,150,MEDIUM,2024-10-04 09:10:00.000,2031-01-04 09:09:00.000,0.0,0.0
11,11,2,2616,29.590989174789676,81.41345546738319,27,IN_PROGRESS,None,17.0,61.0,1,9,2024-01-12 01:12:15,11,2,2616,-1,2024-04-04 11:11:31,2616,Serverless Workflow Management with AWS Step Functions,60,MEDIUM,2024-10-04 09:09:00.000,2031-11-26 09:09:00.000,2959.0989174789675,78.0
12,12,2,2334,28.35756948219021,50.41830387741342,17,IN_PROGRESS,None,58.0,28.0,5,8,2024-03-29 10:55:29,12,2,2334,-1,2020-08-26 06:35:29,2334,Sevillanas con Castañuelas - Baile y toque al mismo tiempo,90,EASY,2024-10-04 09:09:00.000,2031-02-17 09:09:00.000,2835.756948219021,86.0
13,13,2,599,60.33182260768852,61.36260583397205,29,IN_PROGRESS,None,81.0,19.0,5,6,2024-07-05 01:49:41,13,2,599,-1,2021-02-08 08:34:46,599,3. Compound Interest ,120,EASY,2024-10-04 09:09:00.000,2026-05-19 09:09:00.000,6033.182260768852,100.0
