courseId,Course Title,Average Total Score
1,Introduction to JavaScript,91.5
3,Node.js Basics,77.0
5,SQL for Beginners,47.0
7,Ultimate Investment Banking Course,51.0
8,Complete GST Course & Certification - Grow Your CA Practice,0.0
9,Financial Modeling for Business Analysts and Consultants,101.5
10,Beginner to Pro - Financial Analysis in Excel 2017,0.0
12,Trading Penny Stocks: A Guide for All Levels In 2017,83.0
13,Investing And Trading For Beginners: Mastering Price Charts,104.0
14,"Trading Stock Chart Patterns For Immediate, Explosive Gains",32.5
15,Options Trading 3 : Advanced Stock Profit and Success Method,92.33333333333331
16,The Only Investment Strategy You Need For Your Retirement,0.0
17,Forex Trading Secrets of the Pros With Amazon's AWS,173.0
18,Trading Options With Money Flow,0.0
19,Financial Management Risk and Return For Securities,0.0
24,The Complete Chart Pattern Trading Course: A Proven Approach,160.0
25,7 Deadly Mistakes of Investing that Will Slash Your Profits!,49.75
26,Financial Statements Made Easy,0.0
27,Winning Forex Trading with Live Forex Trading Examples,0.0
28,Forex Traders - Create Your First Trading Robot. No Coding!,103.0
29,Create A Business From Home Trading Stocks Today In 2017,0.0
30,Introduction to Accounting : Mastering Financial Statements,45.333333333333336
32,Beginner to Pro in PowerPoint: Complete PowerPoint Training,44.0
33,Investing 101: The Complete Online Investing Course,155.5
36,Forex Trading: Your Complete Guide to Get Started Like a Pro,68.0
37,Python Algo Stock Trading: Automate Your Trading!,0.0
38,THE Forex Robot: Incredible ROI (Robot Included),56.333333333333336
39,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,0.0
40,Mastering High Probability Iron Condor Options Trading,0.0
41,The Complete Short Course on Ethereum,146.0
44,"Introduction to Finance, Accounting, Modeling and Valuation",0.0
45,Beginner to Pro in Excel: Financial Modeling and Valuation,71.0
46,The Complete Investment Banking Course 2017,154.0
47,The Complete Financial Analyst Course 2017,76.33333333333333
48,Python for Finance: Investment Fundamentals & Data Analytics,0.0
49,Financial Modeling for Startups & Small Businesses,156.0
50,Options Trading - How to Win with Weekly Options,79.0
53,Cryptocurrency Trading: Complete Guide To Trading Altcoins,24.0
55,Three Steps Trading - Live Trading - Real Account,0.0
57,How I Learned Stock Trading (and How You Can Too),115.0
58,Learn to Trade for Profit: Find and Trade Winning Stocks,93.0
59,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,59.0
60,Four Fundamentals of Financial Planning,105.0
61,Options Trading - Calendar Spread Course for Every Trader,47.0
63,Learn Accounting. Understand Business.,119.0
67,Excel Crash Course: Master Excel for Financial Analysis,0.0
69,Stock Trading Ninja: Complete System For Trading Success,0.0
70,Hedge and Mutual Fund Careers: The Complete Guide,32.0
73,Options Trading Basics (3-Course Bundle),107.0
74,How to Win 97% of Your Options Trades,64.5
75,How I Make Consistent Returns Trading Options,66.5
77,"Elite Trend Trader: Learn To Trade Stocks, Options & Forex",0.0
78,Options Trading Introduction: Day Trade Stock Options,0.0
80,Forex Trading -  Learn to Trade Forex Like the Banks,147.5
83,What Finance Job is for You? Explanation of 14 Finance Roles,36.0
86,Start Trading Stocks Using Technical Analysis!,99.66666666666669
87,Learn How to Set Up an Incubator Hedge Fund - Step-by-Step,88.0
88,VPS for Forex Trading - Protect Your Forex Robots,0.0
89,Introduction to Accounting: The Language of Business,0.0
90,Basic Excel for Basic Bookkeeping and Accounting,67.5
92,Trading Options For Consistent Returns: Calendar Spreads,82.0
93,How to Create Your Personal Budget,74.0
94,The Complete Value Investing Course: A Proven Approach,117.0
96,Emini ES Futures - Advanced Non Directional Options Trading,77.5
98,How To Invest With Tiny Capital In Stocks ?,99.0
100,Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader,39.0
101,Intermediate Options trading concepts for Stocks and Options,89.0
104,Bitcoin Profits for Beginners,122.0
106,Financial Statements Basics,118.0
107,High performance Stock Trading using key Options techniques,0.0
108,Introduction to Financial Statement Analysis,128.5
111,Accounting for Beginners : Learn Basics in under 1 Hour,144.5
113,Fundamentals of Forex Trading,86.0
114,"Binary Options: Trading Strategies, 90% Accuracy and Signals",0.0
116,Practical Accounts & Bookkeeping Automated Overview ,0.0
117,Live Account - ETF Trading System - Hacking The Stock Market,56.66666666666666
118,Stock Market Leverage: How to Start Trading Options Wisely,78.5
119,Stock Market Foundations,102.33333333333331
120,Crash Course on Working Capital Management,71.33333333333333
121,Advanced Accounting A Complete Study for CA / CMA / CFA / CS,94.5
122,61% Profit In 1 Month - Crush Your Forex Trading Paradigm,0.0
123,How to create a routine Trading,93.0
126,Introduction to Financial Modeling,136.0
127,Quantitative Aptitude for Banking & Competitive Examinations,134.0
129,B Com Accountancy I (Paper ECO 02 IGNOU),95.0
131,Auditing Basics (Professional Course Level),116.0
132,Stock market Investing Encyclopedia: How to invest in stocks,112.0
133,Learn the basics of preparing accounting statements,0.0
134,Elliott Wave -Forex Trading With The Elliott Wave Theory,18.5
135,Corporate Finance - A Brief Introduction,65.0
136,Excel functions to analyze and visualize data,68.0
137,Building Financial Statements in Excel,108.5
138,Transfer Pricing A Complete Analysis,0.0
