id,title,duration,difficultyLevel,createdAt,updatedAt
7,Ultimate Investment Banking Course,90,EASY,2024-10-04 09:09:00.000,2024-10-04 09:09:00.000
3,Node.js Basics,150,MEDIUM,2024-10-04 09:09:07.294,2024-10-04 09:09:07.294
4,CSS Flexbox and Grid,90,EASY,2024-10-04 09:09:07.296,2024-10-04 09:09:07.296
5,SQL for Beginners,200,MEDIUM,2024-10-04 09:09:07.299,2024-10-04 09:09:07.299
6,Python for Data Science,300,EASY,2024-10-04 09:10:50.400,2024-10-04 09:10:50.400
1,Introduction to JavaScript,121,EASY,2024-10-04 09:09:07.286,2024-10-04 09:26:11.193
2,Advanced React1,180,HARD,2024-10-04 09:09:07.291,2024-10-04 09:27:48.759
8,Complete GST Course & Certification - Grow Your CA Practice,2340,EASY,2024-10-04 09:09:00.000,2024-10-05 09:09:00.000
9,Financial Modeling for Business Analysts and Consultants,150,MEDIUM,2024-10-04 09:09:00.000,2024-10-06 09:09:00.000
10,Beginner to Pro - Financial Analysis in Excel 2017,180,EASY,2024-10-04 09:10:00.000,2024-10-07 09:09:00.000
11,How To Maximize Your Profits Trading Options,120,MEDIUM,2024-10-04 09:09:00.000,2024-10-08 09:09:00.000
12,Trading Penny Stocks: A Guide for All Levels In 2017,180,EASY,2024-10-04 09:09:00.000,2024-10-09 09:09:00.000
13,Investing And Trading For Beginners: Mastering Price Charts,60,EASY,2024-10-04 09:09:00.000,2024-10-10 09:09:00.000
14,"Trading Stock Chart Patterns For Immediate, Explosive Gains",150,EASY,2024-10-04 09:09:00.000,2024-10-11 09:09:00.000
15,Options Trading 3 : Advanced Stock Profit and Success Method,150,HARD,2024-10-04 09:09:00.000,2024-10-12 09:09:00.000
16,The Only Investment Strategy You Need For Your Retirement,60,EASY,2024-10-04 09:10:00.000,2024-10-13 09:09:00.000
17,Forex Trading Secrets of the Pros With Amazon's AWS,300,EASY,2024-10-04 09:09:00.000,2024-10-14 09:09:00.000
18,Trading Options With Money Flow,60,EASY,2024-10-04 09:09:00.000,2024-10-15 09:09:00.000
19,Financial Management Risk and Return For Securities,90,EASY,2024-10-04 09:09:00.000,2024-10-16 09:09:00.000
20,Forex Trading Course: Work Smarter Not Harder Proven Results,120,EASY,2024-10-04 09:09:00.000,2024-10-17 09:09:00.000
21,Python Algo Trading: Sentiment Trading with News,420,EASY,2024-10-04 09:09:00.000,2024-10-18 09:09:00.000
22,Short Selling: Learn To Sell Stocks Before The Fall,90,MEDIUM,2024-10-04 09:10:00.000,2024-10-19 09:09:00.000
23,Basic Technical Analysis: Learn the structure of the market,90,EASY,2024-10-04 09:09:00.000,2024-10-20 09:09:00.000
24,The Complete Chart Pattern Trading Course: A Proven Approach,240,EASY,2024-10-04 09:09:00.000,2024-10-21 09:09:00.000
