id,userId,skillId,proficiencyLevel,updatedAt
1,1,43,ADVANCED,2024-10-08 13:47:43.591
2,1,2,ADVANCED,2024-10-08 13:47:43.591
3,1,36,BEGINNER,2024-10-08 13:47:43.591
4,1,55,ADVANCED,2024-10-08 13:47:43.591
5,1,34,INTERMEDIATE,2024-10-08 13:47:43.591
6,1,11,INTERMEDIATE,2024-10-08 13:47:43.591
7,1,39,ADVANCED,2024-10-08 13:47:43.591
8,1,51,ADVANCED,2024-10-08 13:47:43.591
9,1,54,ADVANCED,2024-10-08 13:47:43.591
10,1,53,INTERMEDIATE,2024-10-08 13:47:43.591
11,1,29,BEGINNER,2024-10-08 13:47:43.591
12,1,3,INTERMEDIATE,2024-10-08 13:47:43.591
13,1,26,BEGINNER,2024-10-08 13:47:43.591
14,1,14,BEGINNER,2024-10-08 13:47:43.591
15,1,50,BEGINNER,2024-10-08 13:47:43.591
16,1,18,ADVANCED,2024-10-08 13:47:43.591
17,1,13,BEGINNER,2024-10-08 13:47:43.591
18,1,35,INTERMEDIATE,2024-10-08 13:47:43.591
19,1,27,INTERMEDIATE,2024-10-08 13:47:43.591
20,1,33,ADVANCED,2024-10-08 13:47:43.591
21,1,37,INTERMEDIATE,2024-10-08 13:47:43.591
22,1,31,BEGINNER,2024-10-08 13:47:43.591
23,1,22,ADVANCED,2024-10-08 13:47:43.591
24,1,45,INTERMEDIATE,2024-10-08 13:47:43.591
25,1,47,INTERMEDIATE,2024-10-08 13:47:43.591
26,1,16,INTERMEDIATE,2024-10-08 13:47:43.591
27,1,38,INTERMEDIATE,2024-10-08 13:47:43.591
28,1,49,ADVANCED,2024-10-08 13:47:43.591
29,1,4,INTERMEDIATE,2024-10-08 13:47:43.591
30,1,25,INTERMEDIATE,2024-10-08 13:47:43.591
31,1,41,INTERMEDIATE,2024-10-08 13:47:43.591
32,1,21,ADVANCED,2024-10-08 13:47:43.591
33,1,46,ADVANCED,2024-10-08 13:47:43.591
34,1,24,ADVANCED,2024-10-08 13:47:43.591
35,1,42,BEGINNER,2024-10-08 13:47:43.591
36,1,30,INTERMEDIATE,2024-10-08 13:47:43.591
37,1,5,ADVANCED,2024-10-08 13:47:43.591
38,1,19,BEGINNER,2024-10-08 13:47:43.591
39,1,15,BEGINNER,2024-10-08 13:47:43.591
40,1,17,BEGINNER,2024-10-08 13:47:43.591
41,1,44,INTERMEDIATE,2024-10-08 13:47:43.591
42,1,48,ADVANCED,2024-10-08 13:47:43.591
43,1,32,INTERMEDIATE,2024-10-08 13:47:43.591
44,1,1,ADVANCED,2024-10-08 13:47:43.591
45,1,12,BEGINNER,2024-10-08 13:47:43.591
46,2,41,INTERMEDIATE,2024-10-08 13:47:43.591
47,2,20,INTERMEDIATE,2024-10-08 13:47:43.591
48,2,36,ADVANCED,2024-10-08 13:47:43.591
49,2,46,INTERMEDIATE,2024-10-08 13:47:43.591
50,2,35,BEGINNER,2024-10-08 13:47:43.591
51,2,5,INTERMEDIATE,2024-10-08 13:47:43.591
52,2,44,INTERMEDIATE,2024-10-08 13:47:43.591
53,2,43,BEGINNER,2024-10-08 13:47:43.591
54,2,53,INTERMEDIATE,2024-10-08 13:47:43.591
55,2,15,ADVANCED,2024-10-08 13:47:43.591
56,2,52,BEGINNER,2024-10-08 13:47:43.591
57,2,19,BEGINNER,2024-10-08 13:47:43.591
58,2,50,INTERMEDIATE,2024-10-08 13:47:43.591
59,2,16,ADVANCED,2024-10-08 13:47:43.591
60,2,34,ADVANCED,2024-10-08 13:47:43.591
61,2,48,INTERMEDIATE,2024-10-08 13:47:43.591
62,2,51,BEGINNER,2024-10-08 13:47:43.591
63,2,4,BEGINNER,2024-10-08 13:47:43.591
64,2,39,BEGINNER,2024-10-08 13:47:43.591
65,2,18,INTERMEDIATE,2024-10-08 13:47:43.591
66,2,14,ADVANCED,2024-10-08 13:47:43.591
67,2,21,BEGINNER,2024-10-08 13:47:43.591
68,2,12,BEGINNER,2024-10-08 13:47:43.591
69,2,33,ADVANCED,2024-10-08 13:47:43.591
70,2,17,BEGINNER,2024-10-08 13:47:43.591
71,2,40,BEGINNER,2024-10-08 13:47:43.591
72,2,11,ADVANCED,2024-10-08 13:47:43.591
73,2,54,INTERMEDIATE,2024-10-08 13:47:43.591
74,2,45,ADVANCED,2024-10-08 13:47:43.591
75,2,1,INTERMEDIATE,2024-10-08 13:47:43.591
76,2,32,INTERMEDIATE,2024-10-08 13:47:43.591
77,2,42,BEGINNER,2024-10-08 13:47:43.591
78,2,24,BEGINNER,2024-10-08 13:47:43.591
79,2,27,BEGINNER,2024-10-08 13:47:43.591
80,2,30,INTERMEDIATE,2024-10-08 13:47:43.591
81,2,55,INTERMEDIATE,2024-10-08 13:47:43.591
82,2,13,BEGINNER,2024-10-08 13:47:43.591
83,2,3,INTERMEDIATE,2024-10-08 13:47:43.591
84,2,49,INTERMEDIATE,2024-10-08 13:47:43.591
85,2,28,INTERMEDIATE,2024-10-08 13:47:43.591
86,2,2,INTERMEDIATE,2024-10-08 13:47:43.591
87,2,38,BEGINNER,2024-10-08 13:47:43.591
88,2,29,BEGINNER,2024-10-08 13:47:43.591
89,2,22,INTERMEDIATE,2024-10-08 13:47:43.591
